	LN	LN	LN	LN	LN	NL	NL	NL	NL	NL	NN	NN	NN	NN	NN
mmu-mir-5134 MI0018046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-mir-203b MI0040622	0	1	0	1	0	0	3	1	1	0	5	2	2	2	13
mmu-mir-3473c MI0018015	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
mmu-mir-3091 MI0014084	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
mmu-mir-150 MI0000172	61	80	65	46	80	10	19	31	21	13	87	45	126	106	311
mmu-mir-881 MI0005474	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
mmu-mir-212 MI0000696	19	14	20	13	14	3	10	10	10	6	17	16	13	19	11
mmu-mir-1231 MI0019183	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0
mmu-mir-5125 MI0018036	0	0	0	2	2	0	0	0	0	0	4	0	2	1	2
mmu-mir-6953 MI0022800	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0
mmu-mir-490 MI0005002	0	1	0	1	0	0	0	0	0	0	0	0	2	4	0
mmu-mir-199b MI0000714	2565	2494	2078	2242	2360	239	333	1251	499	302	4757	2077	4347	3016	4525
mmu-mir-98 MI0000586	300	351	305	265	229	74	108	250	199	124	509	299	475	363	542
mmu-mir-12189 MI0040631	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
mmu-mir-200c MI0000694	6	4	2	2	8	1	5	11	2	3	3	4	3	7	31
mmu-mir-677 MI0004634	223	390	288	317	553	105	115	165	149	171	465	133	368	524	328
mmu-mir-683-1 MI0004646_>mmu-mir-683-2 MI0010690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-mir-138-2 MI0000164	5	15	15	8	30	0	1	5	1	1	41	3	34	13	62
mmu-mir-132 MI0000158	10	19	11	24	18	8	4	15	4	1	31	17	24	27	28
mmu-mir-141 MI0000166	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1
mmu-mir-1668 MI0026040	0	0	0	0	0	0	0	1	2	1	0	0	0	0	2
mmu-mir-1930 MI0009919	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0
mmu-mir-6481 MI0022051	3	5	5	5	6	0	0	5	0	0	4	3	1	0	0
mmu-mir-7010 MI0022859	1	1	1	1	2	1	2	0	3	2	3	1	1	2	3
mmu-mir-7051 MI0022900	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
mmu-mir-3074-1 MI0014037	2	2	4	3	5	4	1	8	1	2	7	3	7	4	10
mmu-mir-200a MI0000554	4	4	5	2	4	0	2	3	4	0	3	2	7	2	24
mmu-mir-344g MI0014097	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
mmu-mir-669p-1 MI0014064_>mmu-mir-669p-2 MI0014071	6	2	1	8	6	2	3	4	2	1	8	8	5	4	18
mmu-mir-466p MI0014078	2	1	3	2	6	0	1	0	1	0	5	0	4	2	8
mmu-mir-337 MI0000615	2768	3195	2863	2156	2762	1115	1110	3169	1224	1387	4635	2609	4003	3777	3432
mmu-mir-342 MI0000627	12	5	3	4	5	5	13	7	13	9	5	6	8	10	18
mmu-mir-190b MI0005478	1	8	6	4	9	0	0	1	2	5	7	6	7	4	2
mmu-mir-30b MI0000145	96	81	71	54	105	33	57	74	37	49	143	64	101	124	135
mmu-mir-3064 MI0014026	1	0	0	3	1	2	1	2	1	1	2	0	1	0	2
mmu-mir-5107 MI0018016	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2
mmu-mir-362 MI0000763	94	179	175	128	152	4	4	26	4	5	300	75	245	213	260
mmu-mir-6921 MI0022768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-mir-7669 MI0025009	0	0	1	0	1	0	0	0	0	1	0	0	2	0	0
mmu-mir-673 MI0004601	570	368	318	201	261	770	790	976	848	1035	515	480	410	423	415
mmu-mir-92b MI0005521	5	2	4	1	1	0	3	2	2	3	1	1	4	0	7
mmu-mir-7014 MI0022863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
mmu-mir-8094 MI0026021	4	3	2	5	0	6	7	9	2	2	1	1	2	0	1
mmu-mir-7674 MI0025015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
mmu-mir-6934 MI0022781	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
mmu-mir-6962 MI0022809	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
mmu-mir-7687 MI0025039	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0
mmu-mir-465a MI0002400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
mmu-mir-30c-2 MI0000548	10862	16968	14739	11592	12420	1874	1404	7432	2852	2725	23905	9983	18537	22186	17051
mmu-mir-465b-1 MI0005498_>mmu-mir-465b-2 MI0005499	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-mir-743b MI0005470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-mir-6980 MI0022828	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0
mmu-mir-3082 MI0014045	6	2	2	3	2	0	0	3	2	0	1	4	0	3	1
mmu-mir-136 MI0000162	3094	3416	3046	3095	3632	659	640	2163	1459	1034	6940	2441	4173	3761	3548
mmu-mir-770 MI0004203	62	21	30	10	33	138	130	131	185	184	50	55	35	36	36
mmu-mir-182 MI0000224	22	17	14	8	13	16	38	29	50	48	20	22	49	9	127
mmu-mir-3474 MI0014707	0	0	1	0	2	2	1	1	1	1	1	1	1	0	0
mmu-mir-107 MI0000684	243	314	213	205	198	33	32	109	25	35	357	159	414	311	468
mmu-mir-6392 MI0021926	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
mmu-mir-5130 MI0018042	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0
mmu-mir-5129 MI0018041	1	0	1	4	2	2	1	2	2	4	5	0	2	1	1
mmu-mir-6952 MI0022799	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1
mmu-mir-34c MI0000403	35	47	42	56	77	0	2	13	10	3	99	22	67	52	79
mmu-mir-34a MI0000584	17	16	14	23	44	0	0	2	1	0	44	9	36	35	58
mmu-mir-29b-1 MI0000143	7	35	21	20	22	4	1	4	1	3	33	10	24	37	24
mmu-mir-3060 MI0014022	0	1	2	0	0	0	0	0	0	0	1	0	4	0	5
mmu-mir-7060 MI0022909	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
mmu-mir-682 MI0004644	2	4	6	16	11	1	10	14	11	9	6	10	1	3	1
mmu-mir-466c-2 MI0014057_>mmu-mir-466c-3 MI0031753	4	2	6	3	9	0	4	0	1	0	11	0	6	3	17
mmu-mir-7652 MI0024992	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
mmu-mir-8106 MI0026037	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
mmu-mir-543 MI0003519	282	263	276	242	227	313	317	525	421	371	545	361	468	435	290
mmu-mir-667 MI0004196	72	56	47	43	49	43	58	109	65	84	90	53	66	68	56
mmu-mir-5103 MI0018011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-mir-1968 MI0009965	2	2	2	5	3	2	3	2	1	1	9	5	1	10	5
mmu-mir-8115 MI0026047	1	0	0	4	1	1	1	1	2	2	0	1	0	0	1
mmu-mir-222 MI0000710	47	70	56	40	62	35	39	39	20	19	111	49	83	80	97
mmu-mir-143 MI0000257	61838	64445	47572	46098	72459	18543	15980	37767	25152	24733	97715	63636	92752	74655	77549
mmu-mir-1192 MI0006297	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0
mmu-mir-26a-1 MI0000573	50318	49339	39549	38127	41528	12951	14681	35715	19517	17752	66509	37901	64963	56627	62463
mmu-mir-8098 MI0026026	0	0	0	0	1	1	0	0	0	0	1	2	1	0	0
mmu-mir-3473f MI0026016	12	13	4	28	28	12	14	15	6	9	12	13	16	3	6
mmu-mir-7067 MI0022916	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
mmu-mir-6538 MI0022354	1	0	0	1	1	0	0	1	2	0	0	0	0	0	2
mmu-mir-495 MI0004639	220	222	185	182	202	130	144	205	131	157	373	204	278	279	199
mmu-mir-7665 MI0025005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-mir-3070-1 MI0014032	0	0	0	2	1	2	1	0	2	0	1	0	1	0	0
mmu-mir-103-2 MI0000588	1702	2120	1690	1333	1209	264	309	762	392	333	2705	1287	2643	1969	3365
mmu-mir-6898 MI0022745	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
mmu-mir-3086 MI0014049	0	0	0	0	1	0	1	0	3	0	2	0	0	0	0
mmu-mir-323 MI0000592	56	74	46	47	42	24	25	54	25	25	82	45	106	81	77
mmu-mir-532 MI0003206	718	600	456	392	579	163	137	403	252	205	764	531	677	557	823
mmu-mir-5116 MI0018025	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
mmu-mir-191 MI0000233	3244	3978	3388	2541	2692	903	1078	2161	1144	1184	4796	2513	4215	4572	5377
mmu-mir-6907 MI0022754	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
mmu-let-7f-2 MI0000563	28938	23206	21277	20923	12215	18471	23870	28069	39224	23248	35160	26480	31023	23106	37377
mmu-mir-1291 MI0026023	60	57	36	85	109	43	34	69	41	74	80	30	54	46	64
mmu-mir-6966 MI0022814	0	1	2	0	1	3	3	3	2	3	0	3	0	1	0
mmu-mir-297a-2 MI0000397	1	1	0	0	0	0	0	0	0	0	0	0	0	2	2
mmu-mir-467c MI0005512	1	4	4	1	3	0	2	4	3	0	5	1	7	6	12
mmu-mir-3095 MI0014088	2	0	0	3	2	1	4	0	0	1	2	1	1	1	8
mmu-mir-27b MI0000142	14762	14109	10361	9249	12574	1528	2046	6351	2879	2597	19139	11845	19944	14802	21403
mmu-mir-1902 MI0008313	3	5	2	5	5	4	8	9	9	14	2	7	0	1	1
mmu-mir-346 MI0000634	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1
mmu-mir-700 MI0004684	7	7	8	5	12	6	1	2	4	2	12	3	7	8	14
mmu-mir-375 MI0000792	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1
mmu-mir-7a-2 MI0000729	938	406	366	376	286	209	303	652	463	548	757	811	590	520	983
