	LN	LN	LN	LN	LN	NL	NL	NL	NL	NL	NN	NN	NN	NN	NN
mmu-miR-152-3p MIMAT0000162	2225	2685	2038	1796	1717	252	257	723	644	403	3689	1590	3460	2661	4250
mmu-miR-496a-5p MIMAT0017244	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
mmu-miR-542-3p MIMAT0003172	3	1	1	1	1	0	0	0	0	0	2	0	0	2	6
mmu-miR-6977-3p MIMAT0027857	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
mmu-miR-382-5p MIMAT0000747	206	237	208	134	152	117	209	277	204	176	280	184	295	238	271
mmu-miR-6959-5p MIMAT0027818	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
mmu-miR-6546-5p MIMAT0029792	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
mmu-miR-667-3p MIMAT0003734	8	11	4	7	9	10	22	34	26	21	15	5	14	21	10
mmu-miR-181c-5p MIMAT0000674	16	61	58	51	89	6	7	10	7	9	101	16	85	87	83
mmu-miR-195a-5p MIMAT0000225	93	197	127	143	170	21	17	51	21	25	262	94	182	208	220
mmu-miR-450a-5p MIMAT0001546	345	1109	1009	939	905	84	85	203	160	119	1803	283	1560	1305	1485
mmu-miR-129-2-3p MIMAT0000544	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1
mmu-miR-1941-3p MIMAT0009406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
mmu-miR-669d-5p MIMAT0005833	1	0	1	0	2	0	0	0	0	0	1	0	0	2	0
mmu-miR-7025-5p MIMAT0027954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-673-3p MIMAT0004824	329	210	183	114	165	462	410	515	403	573	308	310	223	238	235
mmu-miR-134-5p MIMAT0000146	20	13	20	12	22	11	14	23	8	20	27	15	18	18	28
mmu-miR-192-3p MIMAT0017012	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
mmu-miR-320-5p MIMAT0017057	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
mmu-miR-206-5p MIMAT0017004	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0
mmu-miR-503-5p MIMAT0003188	10	56	56	50	46	0	4	1	1	0	106	4	59	91	101
mmu-miR-30a-5p MIMAT0000128	388	298	257	207	196	52	45	166	90	77	513	337	341	273	340
mmu-miR-484 MIMAT0003127	18	30	27	20	26	5	9	14	5	2	42	11	31	51	39
mmu-miR-6900-5p MIMAT0027700	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-5130 MIMAT0020641	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3072-3p MIMAT0014853	10	11	5	4	22	4	5	7	3	1	22	5	35	12	22
mmu-miR-30c-1-3p MIMAT0004616	17	18	18	7	14	4	8	10	12	8	28	13	19	21	23
mmu-miR-147-5p MIMAT0017269	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
mmu-miR-196a-2-3p MIMAT0004618	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7219-3p MIMAT0028407	0	1	0	1	0	0	0	0	0	0	0	1	1	1	1
mmu-miR-455-3p MIMAT0003742	7	7	8	3	4	0	0	4	0	1	9	1	9	8	12
mmu-miR-1224-5p MIMAT0005460	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
mmu-miR-7669-3p MIMAT0029845	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
mmu-miR-3057-5p MIMAT0014822	5	1	2	2	1	2	3	7	1	4	3	3	1	9	3
mmu-miR-21a-5p MIMAT0000530	2769	4841	3930	3641	3881	257	217	1147	501	423	7471	1905	6418	5856	6908
mmu-miR-329-5p MIMAT0017032	62	62	48	32	47	6	6	50	30	15	103	40	93	66	63
mmu-miR-669f-5p MIMAT0017327	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0
mmu-miR-140-3p MIMAT0000152	157	131	92	85	193	16	15	68	41	31	209	105	176	151	221
mmu-miR-3066-5p MIMAT0014838	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1
mmu-miR-872-5p MIMAT0004934	111	157	110	162	142	14	20	67	44	12	255	86	184	194	263
mmu-miR-130a-5p MIMAT0016983	0	1	0	1	2	0	2	0	0	0	1	0	2	0	1
