	LN	LN	LN	LN	LN	NL	NL	NL	NL	NL	NN	NN	NN	NN	NN
mmu-miR-152-3p MIMAT0000162	2639	3036	2380	2112	1988	296	294	850	712	440	4154	1870	3997	3002	4818
mmu-miR-496a-5p MIMAT0017244	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
mmu-miR-542-3p MIMAT0003172	6	9	5	6	2	1	0	3	1	7	14	7	6	3	28
mmu-miR-6977-3p MIMAT0027857	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
mmu-miR-382-5p MIMAT0000747	434	411	365	252	252	211	365	557	400	327	538	428	541	439	478
mmu-miR-6959-5p MIMAT0027818	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
mmu-miR-6546-5p MIMAT0029792	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
mmu-miR-667-3p MIMAT0003734	38	32	26	19	29	16	34	60	39	40	57	23	43	44	32
mmu-miR-181c-5p MIMAT0000674	22	65	63	59	98	6	7	14	7	11	116	18	99	99	92
mmu-miR-195a-5p MIMAT0000225	120	231	144	171	208	26	17	58	27	29	318	120	214	254	256
mmu-miR-450a-5p MIMAT0001546	391	1231	1122	1024	1015	96	100	233	174	138	1983	331	1741	1455	1629
mmu-miR-12193-3p MIMAT0049856	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
mmu-miR-129-2-3p MIMAT0000544	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1
mmu-miR-1941-3p MIMAT0009406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
mmu-miR-669d-5p MIMAT0005833	1	1	2	0	2	0	0	0	0	0	1	0	1	3	1
mmu-miR-7025-5p MIMAT0027954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-673-3p MIMAT0004824	484	294	242	158	217	613	561	740	582	765	388	422	308	328	310
mmu-miR-7243-3p MIMAT0029911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-134-5p MIMAT0000146	21	22	20	13	25	12	21	25	15	26	32	22	22	23	33
mmu-miR-192-3p MIMAT0017012	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
mmu-miR-320-5p MIMAT0017057	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
mmu-miR-206-5p MIMAT0017004	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0
mmu-miR-503-5p MIMAT0003188	16	59	64	52	53	2	8	1	4	1	120	8	71	100	111
mmu-miR-30a-5p MIMAT0000128	462	356	325	258	251	68	60	204	121	100	629	410	420	344	430
mmu-miR-484 MIMAT0003127	67	73	92	62	67	22	15	43	14	18	106	49	108	121	111
mmu-miR-6900-5p MIMAT0027700	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-5130 MIMAT0020641	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3072-3p MIMAT0014853	13	14	6	6	24	6	5	7	4	1	23	5	38	15	23
mmu-miR-30c-1-3p MIMAT0004616	33	27	24	13	17	6	12	16	15	11	36	23	28	28	27
mmu-miR-147-5p MIMAT0017269	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0
mmu-miR-196a-2-3p MIMAT0004618	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7219-3p MIMAT0028407	0	1	0	1	0	0	0	0	0	0	0	1	1	1	2
mmu-miR-455-3p MIMAT0003742	9	9	9	3	6	0	0	4	1	2	9	1	11	8	12
mmu-miR-1224-5p MIMAT0005460	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0
mmu-miR-7669-3p MIMAT0029845	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
mmu-miR-3057-5p MIMAT0014822	6	1	2	2	1	3	6	7	2	4	6	4	2	10	3
mmu-miR-21a-5p MIMAT0000530	3072	5222	4278	3990	4206	283	235	1247	581	464	8119	2109	6980	6342	7430
mmu-miR-329-5p MIMAT0017032	72	70	58	38	59	9	9	57	38	18	119	53	109	78	69
mmu-miR-669f-5p MIMAT0017327	1	0	1	1	4	0	0	1	0	0	2	0	0	0	3
