	LN	LN	LN	LN	LN	NL	NL	NL	NL	NL	NN	NN	NN	NN	NN
 ENSMUSG00000064791	88	103	104	81	142	84	67	130	58	93	112	43	100	97	94
 ENSMUSG00000064792	7	4	3	16	18	5	2	5	2	8	4	2	3	2	2
 ENSMUSG00000064671	2	1	0	2	1	2	0	1	2	3	0	2	1	1	0
 ENSMUSG00000065883	7	9	9	30	15	2	9	8	7	8	6	6	6	7	10
 ENSMUSG00000064672	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0
 ENSMUSG00000065640	504	1204	1008	830	892	155	155	403	80	210	1673	473	959	1291	1441
 ENSMUSG00000077621	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
 ENSMUSG00000088521	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
 ENSMUSG00000077745	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0
 ENSMUSG00000087793	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
 ENSMUSG00000094382_> ENSMUSG00000094251	122	85	61	127	178	182	188	240	197	332	103	134	109	96	112
 ENSMUSG00000087790	21455	21060	15181	12934	23290	19346	19986	34854	12876	20603	29791	16540	15679	18763	23069
 ENSMUSG00000077625	203	568	364	343	728	67	70	194	82	114	673	144	441	742	624
 ENSMUSG00000077505	26	26	14	22	25	11	8	26	8	17	23	7	14	17	23
 ENSMUSG00000077506	115	109	90	77	110	40	44	69	38	54	145	71	106	89	134
 ENSMUSG00000089617	240	194	146	223	293	332	344	371	302	451	183	191	274	163	235
 ENSMUSG00000088524	399244	175105	123240	106530	187155	573308	493544	628178	352880	559002	238328	291247	154129	152081	212604
 ENSMUSG00000094099_> ENSMUSG00000094093	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
 ENSMUSG00000096263	216	287	246	321	312	159	190	285	185	300	311	154	288	269	292
 ENSMUSG00000065642	2	13	5	13	17	5	7	13	3	4	10	4	6	7	5
 ENSMUSG00000065884	0	0	0	0	3	0	0	1	0	3	0	0	0	0	0
 ENSMUSG00000064797	16881	15822	11203	8927	18279	8625	7010	22120	9319	14879	21022	11087	14345	13994	20589
 ENSMUSG00000064558	4	2	2	7	5	6	6	4	4	11	0	2	0	5	2
 ENSMUSG00000064437	225	282	287	197	322	189	266	290	484	460	261	318	313	245	400
 ENSMUSG00000065649	12	18	13	62	42	25	46	51	41	28	14	12	19	20	21
 ENSMUSG00000077519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 ENSMUSG00000106147	2183	1390	972	2778	4413	7163	6886	7665	6652	10281	1627	2179	1600	1487	1160
 ENSMUSG00000096019	11	3	7	5	9	4	11	9	12	17	9	10	11	5	5
 ENSMUSG00000095045	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
 ENSMUSG00000064440	153823	116027	88089	67767	130423	67338	63161	124300	61866	89542	160574	105931	110926	101980	177060
 ENSMUSG00000064441	64	146	107	77	171	35	34	84	67	68	161	74	142	211	206
 ENSMUSG00000064563	99	108	73	86	126	70	75	73	61	96	99	67	112	99	123
 ENSMUSG00000064442	0	0	0	3	1	0	0	4	0	2	0	3	0	0	0
 ENSMUSG00000088510	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
 ENSMUSG00000077756	7914	9657	6784	5844	10676	5599	5137	11662	4310	6967	14834	6285	7477	8856	10695
 ENSMUSG00000077515	45645	33583	25467	22206	29002	36369	34672	60294	25227	39291	44674	34860	27219	29315	33583
 ENSMUSG00000077758	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0
 ENSMUSG00000077637	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
 ENSMUSG00000077759	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0
 ENSMUSG00000088518	4	3	2	6	5	1	4	3	3	8	1	3	2	2	2
 ENSMUSG00000088634	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
 ENSMUSG00000088877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 ENSMUSG00000077630	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
 ENSMUSG00000088996	0	1	1	0	0	0	0	1	0	0	0	1	1	3	2
 ENSMUSG00000094038_> ENSMUSG00000095418_> ENSMUSG00000096799	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0
 ENSMUSG00000065653	0	0	1	0	1	0	0	1	2	1	1	0	0	0	0
 ENSMUSG00000064567	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
 ENSMUSG00000094034_> ENSMUSG00000095425	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
 ENSMUSG00000096496	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
 ENSMUSG00000065778	14	12	8	52	40	34	28	52	60	90	13	16	17	21	6
 ENSMUSG00000065899	48	67	59	59	89	7	28	15	13	22	71	12	96	88	69
 ENSMUSG00000094508_> ENSMUSG00000093994	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
 ENSMUSG00000064570	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0
 ENSMUSG00000065782	1188	840	703	708	1001	681	743	1176	2068	1808	947	1104	1390	952	1518
 ENSMUSG00000064692	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0
 ENSMUSG00000064450	636	738	515	471	733	287	288	657	364	469	906	467	680	689	862
 ENSMUSG00000064451	0	1	1	20	7	1	3	6	3	9	3	0	1	4	2
 ENSMUSG00000064452	125	109	93	70	118	73	66	166	45	108	146	81	125	87	133
 ENSMUSG00000064573	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0
 ENSMUSG00000064453	630	521	432	347	447	375	428	599	359	531	642	411	474	457	639
 ENSMUSG00000088784	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
 ENSMUSG00000077403	271	250	213	575	417	262	318	456	467	620	294	175	269	246	169
 ENSMUSG00000088420	0	3	3	2	7	2	2	2	2	0	1	0	2	2	0
 ENSMUSG00000093874_> ENSMUSG00000065663	5	2	5	8	4	10	15	6	8	7	4	6	4	6	3
 ENSMUSG00000077527	5027	8352	6892	5033	7808	2314	3019	5631	2291	3340	10644	3918	8109	8576	10949
 ENSMUSG00000077648	1	0	1	1	1	1	0	5	0	1	0	1	4	0	0
 ENSMUSG00000077528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 ENSMUSG00000088308	2	1	0	1	5	0	2	1	1	4	0	1	0	0	1
 ENSMUSG00000089517	0	0	2	2	0	0	0	0	0	0	0	0	0	0	2
 ENSMUSG00000096048_> ENSMUSG00000094917_> ENSMUSG00000096324	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
 ENSMUSG00000089514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 ENSMUSG00000077640	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
 ENSMUSG00000088423	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
 ENSMUSG00000089512	12	64	46	52	110	5	17	11	5	9	72	22	76	73	92
 ENSMUSG00000064696	3602	3303	2534	1833	2678	7000	7027	5978	8521	11187	3893	2115	3551	3009	3962
 ENSMUSG00000064697	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
 ENSMUSG00000096285	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0
 ENSMUSG00000065304	1	5	1	2	10	8	14	2	1	14	2	2	5	3	2
 ENSMUSG00000096166	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
 ENSMUSG00000096287	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
 ENSMUSG00000065669	0	1	1	0	2	0	0	0	0	0	0	3	0	0	0
 ENSMUSG00000065305	83317	60329	46366	36792	60107	131081	112775	141154	106517	169599	70383	60301	74816	52701	70165
 ENSMUSG00000096281	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0
 ENSMUSG00000105037	46	31	18	190	134	42	126	73	110	92	34	34	34	12	27
 ENSMUSG00000064581	4	3	3	9	4	4	3	5	4	3	5	3	2	4	2
 ENSMUSG00000088895	13	24	17	101	43	8	11	17	11	7	21	10	24	12	12
 ENSMUSG00000077413	18	21	10	14	27	9	4	15	11	8	24	18	13	23	26
 ENSMUSG00000088530	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
 ENSMUSG00000077659	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0
 ENSMUSG00000077539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 ENSMUSG00000088536	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
 ENSMUSG00000077410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 ENSMUSG00000088412	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
 ENSMUSG00000065676	10439	11243	7779	6789	11213	5774	6578	11845	4330	6843	14235	7146	9292	10521	13706
 ENSMUSG00000065799	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
 ENSMUSG00000089509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 ENSMUSG00000065680	3114	8106	7093	4647	5198	644	768	2108	643	1076	9551	2244	7399	8963	11130
 ENSMUSG00000064471	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
 ENSMUSG00000065200	4	4	2	7	10	3	2	4	2	5	3	4	3	1	2
 ENSMUSG00000064596	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
 ENSMUSG00000088323	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
 ENSMUSG00000077787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 ENSMUSG00000077425	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
 ENSMUSG00000089531	1	2	0	3	5	6	2	1	2	1	0	2	0	1	0
 ENSMUSG00000077304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 ENSMUSG00000077667	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
 ENSMUSG00000077426	5	6	8	7	10	4	4	8	1	4	5	4	5	0	3
 ENSMUSG00000077549	7216	9190	6929	4962	7586	5883	5860	10112	3829	6990	12399	5750	8216	8477	9614
 ENSMUSG00000092819	12	16	13	57	35	55	36	51	67	76	18	23	24	14	10
 ENSMUSG00000077422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 ENSMUSG00000065687	3	9	1	2	12	1	6	1	2	1	6	1	5	7	2
 ENSMUSG00000064477	2	0	2	2	6	0	0	1	0	0	0	0	0	2	1
 ENSMUSG00000065686	2	3	1	5	1	0	4	1	1	0	0	4	1	2	1
 ENSMUSG00000099334	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0
 ENSMUSG00000065204	0	0	0	0	1	2	0	1	0	2	0	2	0	0	0
 ENSMUSG00000065328	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
 ENSMUSG00000065208	2	2	4	6	13	1	3	4	0	3	4	0	7	5	4
 ENSMUSG00000096017_> ENSMUSG00000096865_> ENSMUSG00000094218	1	0	0	0	0	0	0	2	1	3	0	2	0	2	0
 ENSMUSG00000065692	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
 ENSMUSG00000096057	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
 ENSMUSG00000077797	1260	1466	1054	854	1497	773	758	1668	728	1290	1629	932	1338	1263	2154
 ENSMUSG00000088311	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0
 ENSMUSG00000077435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 ENSMUSG00000089520	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0
 ENSMUSG00000077557	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
 ENSMUSG00000077438	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0
 ENSMUSG00000077318	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
 ENSMUSG00000096430_> ENSMUSG00000094919_> ENSMUSG00000096390_> ENSMUSG00000094550_> ENSMUSG00000094513_> ENSMUSG00000095372	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0
 ENSMUSG00000077792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 ENSMUSG00000077672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 ENSMUSG00000077673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 ENSMUSG00000089524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 ENSMUSG00000088677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 ENSMUSG00000064487	1053	750	583	1345	2152	1848	1643	2139	2798	3439	1197	1404	848	592	391
 ENSMUSG00000096296	25	19	15	21	30	26	33	50	70	53	21	25	40	27	26
 ENSMUSG00000065336	260	368	274	328	502	115	111	238	97	172	489	186	326	344	454
 ENSMUSG00000096291	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
 ENSMUSG00000065219	24704	24624	20659	14326	13684	43502	40841	53709	30601	62984	31790	23354	21057	24676	25080
 ENSMUSG00000064493	7	7	5	10	10	26	25	18	18	44	10	3	1	3	5
 ENSMUSG00000065463	17032	16054	13070	10032	12898	16261	13771	21681	9421	17715	20848	14988	15026	16046	16990
 ENSMUSG00000065100	8	6	5	7	7	5	0	6	10	7	2	5	6	3	4
 ENSMUSG00000064495	18	11	7	17	13	15	27	15	26	23	6	12	5	9	1
 ENSMUSG00000064496	30	39	33	44	76	40	68	87	71	71	42	25	45	50	34
 ENSMUSG00000089313	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
 ENSMUSG00000088587	1140	1212	894	722	1165	650	547	1659	703	1005	1603	752	1142	1216	1353
 ENSMUSG00000077569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 ENSMUSG00000089552	0	1	2	0	1	0	1	1	0	2	0	0	0	1	0
 ENSMUSG00000088340	1	0	1	4	3	3	0	6	5	4	0	0	0	0	0
 ENSMUSG00000077449	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
 ENSMUSG00000088108	3	1	1	6	13	0	0	2	1	1	3	6	3	2	2
 ENSMUSG00000077440	185190	106368	76988	61419	100575	310574	329086	325509	194303	295464	154788	149669	85618	92633	119661
